@relation Census_Income_database-weka.filters.unsupervised.attribute.Remove-R3

@attribute sex {Female,Male}
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute age numeric
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Cambodia,England,Puerto-Rico,Canada,Germany,Outlying-US(Guam-USVI-etc),India,Japan,Greece,South,China,Cuba,Iran,Honduras,Philippines,Italy,Poland,Jamaica,Vietnam,Mexico,Portugal,Ireland,France,Dominican-Republic,Laos,Ecuador,Taiwan,Haiti,Columbia,Hungary,Guatemala,Nicaragua,Scotland,Thailand,Yugoslavia,El-Salvador,Trinadad&Tobago,Peru,Hong,Holand-Netherlands}
@attribute income_class {<=50K,>50K}

@data
Male,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,48,3103,0,48,United-States,>50K
Male,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,43,0,0,50,United-States,>50K
Male,State-gov,Some-college,10,Never-married,Other-service,Own-child,White,20,0,0,25,United-States,<=50K
Female,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,43,0,0,30,United-States,<=50K
Female,Private,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,37,0,0,20,United-States,<=50K
Male,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,40,0,0,45,?,>50K
Male,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,34,0,0,47,United-States,>50K
Female,Private,Some-college,10,Never-married,Other-service,Own-child,Black,34,0,0,35,United-States,<=50K
Female,?,7th-8th,4,Divorced,?,Not-in-family,White,72,0,0,6,United-States,<=50K
Male,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,25,0,0,43,Peru,<=50K
Male,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,25,0,0,40,United-States,<=50K
Male,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,45,7298,0,90,United-States,>50K
Male,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,22,0,0,20,United-States,<=50K
Male,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,23,0,0,54,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,54,0,0,35,United-States,<=50K
Male,Self-emp-not-inc,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,32,0,0,60,United-States,<=50K
Male,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,46,7688,0,38,United-States,>50K
Female,Self-emp-not-inc,11th,7,Widowed,Other-service,Unmarried,White,56,0,0,50,United-States,<=50K
Male,Self-emp-not-inc,Bachelors,13,Never-married,Sales,Not-in-family,White,24,0,0,50,United-States,<=50K
Male,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,23,0,0,40,United-States,<=50K
Female,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,26,0,0,40,United-States,<=50K
Male,?,HS-grad,9,Married-civ-spouse,?,Husband,White,65,0,0,40,United-States,<=50K
Male,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,36,0,0,40,United-States,>50K
Male,Private,5th-6th,3,Never-married,Priv-house-serv,Not-in-family,White,22,0,0,50,Guatemala,<=50K
Male,Private,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,17,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,20,0,0,40,United-States,<=50K
Male,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,65,0,0,50,United-States,>50K
Male,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,44,0,0,45,United-States,>50K
Male,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,36,0,0,40,United-States,<=50K
Male,Private,11th,7,Married-civ-spouse,Other-service,Husband,White,29,0,0,40,United-States,<=50K
Male,State-gov,Some-college,10,Never-married,Farming-fishing,Own-child,White,20,0,0,32,United-States,<=50K
Female,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,28,0,0,36,United-States,>50K
Male,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,39,0,0,40,Mexico,<=50K
Male,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,54,3908,0,50,United-States,<=50K
Female,Private,11th,7,Separated,Priv-house-serv,Not-in-family,Black,52,0,0,18,United-States,<=50K
Female,Self-emp-inc,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,56,0,0,50,United-States,<=50K
Male,Private,Some-college,10,Never-married,Other-service,Own-child,White,18,0,0,20,United-States,<=50K
Male,Private,HS-grad,9,Divorced,Handlers-cleaners,Own-child,Black,39,0,0,40,United-States,<=50K
Female,Private,Some-college,10,Never-married,Other-service,Own-child,White,21,0,1721,24,United-States,<=50K
Male,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,22,14084,0,60,United-States,>50K
Male,Private,9th,5,Married-spouse-absent,Exec-managerial,Not-in-family,White,38,0,0,54,Mexico,<=50K
Female,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,21,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,63,0,0,40,United-States,<=50K
Male,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,34,3103,0,50,United-States,>50K
Male,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,42,5178,0,50,United-States,>50K
Male,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,33,0,0,40,United-States,<=50K
Female,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,30,0,0,50,United-States,<=50K
Male,Private,Some-college,10,Divorced,Sales,Not-in-family,White,39,0,0,40,United-States,<=50K
Female,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,26,0,0,40,United-States,<=50K
Female,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,33,0,0,40,United-States,<=50K
Female,Local-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,47,0,0,40,United-States,<=50K
Female,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,41,0,0,40,?,<=50K
Male,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,41,15024,0,60,United-States,>50K
Male,Private,Some-college,10,Never-married,Other-service,Own-child,White,19,0,0,20,United-States,<=50K
Male,Private,HS-grad,9,Separated,Transport-moving,Not-in-family,White,46,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,43,0,0,48,United-States,<=50K
Male,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,55,15024,0,45,United-States,>50K
Male,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,46,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,30,0,0,40,Mexico,<=50K
Female,Private,Some-college,10,Separated,Handlers-cleaners,Not-in-family,White,21,0,0,40,United-States,<=50K
Male,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,46,0,0,40,Dominican-Republic,<=50K
Male,?,10th,6,Never-married,?,Own-child,White,17,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,41,0,0,50,United-States,<=50K
Male,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,69,0,0,30,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,50,0,0,40,United-States,<=50K
Female,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,20,0,0,40,United-States,<=50K
Male,Self-emp-inc,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,45,0,0,50,United-States,<=50K
Male,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,23,0,0,40,United-States,<=50K
Male,Private,Some-college,10,Separated,Other-service,Not-in-family,White,24,0,1876,40,United-States,<=50K
Male,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,44,99999,0,50,?,>50K
Male,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,31,0,0,50,United-States,<=50K
Female,Private,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,43,0,0,44,United-States,<=50K
Female,Federal-gov,11th,7,Never-married,Other-service,Own-child,White,20,0,0,10,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,55,0,0,56,United-States,>50K
Male,Federal-gov,Some-college,10,Never-married,Armed-Forces,Not-in-family,White,24,0,0,40,United-States,<=50K
Female,?,Masters,14,Married-civ-spouse,?,Wife,White,41,7688,0,10,United-States,>50K
Female,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,59,0,0,25,United-States,<=50K
Male,Federal-gov,7th-8th,4,Never-married,Other-service,Not-in-family,Black,49,0,0,20,United-States,<=50K
Female,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,33,5178,0,10,United-States,>50K
Male,Federal-gov,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,59,0,0,40,United-States,<=50K
Male,Private,Masters,14,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,34,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,20,0,0,40,United-States,<=50K
Female,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,25,0,0,40,United-States,<=50K
Male,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,49,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,59,0,0,40,United-States,>50K
Female,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,20,0,0,40,United-States,<=50K
Female,?,Some-college,10,Married-civ-spouse,?,Wife,White,51,0,0,18,United-States,<=50K
Female,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,33,0,0,35,United-States,<=50K
Male,Private,Some-college,10,Never-married,Transport-moving,Own-child,Black,22,0,0,39,United-States,<=50K
Female,Self-emp-not-inc,9th,5,Widowed,Other-service,Not-in-family,White,58,0,0,40,United-States,<=50K
Female,Local-gov,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,52,0,0,28,United-States,<=50K
Female,Private,10th,6,Separated,Machine-op-inspct,Not-in-family,White,36,0,0,40,United-States,<=50K
Male,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,41,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,28,2597,0,40,United-States,<=50K
Male,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,19,0,0,16,United-States,<=50K
Female,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,18,0,0,28,United-States,<=50K
Female,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,18,0,0,48,United-States,<=50K
Male,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,28,0,0,40,United-States,<=50K
Male,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,29,0,0,40,United-States,>50K
Female,?,HS-grad,9,Never-married,?,Own-child,White,20,0,0,20,United-States,<=50K
Male,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,40,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,26,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,46,0,0,40,United-States,<=50K
Female,Private,11th,7,Never-married,Other-service,Not-in-family,White,23,0,0,24,United-States,<=50K
Female,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,44,0,0,40,United-States,<=50K
Female,Private,Bachelors,13,Divorced,Sales,Unmarried,White,43,0,0,40,United-States,>50K
Female,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,31,0,0,60,United-States,<=50K
Female,Private,Some-college,10,Never-married,Sales,Own-child,White,18,0,0,25,United-States,<=50K
Male,Private,Some-college,10,Never-married,Protective-serv,Own-child,White,19,0,0,30,United-States,<=50K
Female,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,41,0,0,40,United-States,<=50K
Female,Private,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,41,0,0,40,United-States,<=50K
Female,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,69,0,0,25,United-States,<=50K
Female,Federal-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,48,0,0,40,United-States,>50K
Male,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,White,28,0,0,40,United-States,<=50K
Male,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,27,0,0,60,Ireland,>50K
Male,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,41,0,2415,50,United-States,>50K
Male,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,41,0,0,40,United-States,<=50K
Female,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,Black,24,0,0,40,United-States,<=50K
Female,?,HS-grad,9,Never-married,?,Not-in-family,White,20,0,0,40,United-States,<=50K
Male,Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,42,0,0,41,United-States,>50K
Male,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,57,0,0,48,United-States,<=50K
Female,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,30,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,36,0,0,60,United-States,>50K
Male,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,49,0,0,40,United-States,<=50K
Female,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,33,0,0,35,United-States,<=50K
Male,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,23,0,0,40,United-States,<=50K
Male,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,46,0,0,40,United-States,<=50K
Female,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,18,0,0,22,Germany,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,40,7688,0,55,United-States,>50K
Male,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,43,0,1887,45,United-States,>50K
Female,Private,Masters,14,Never-married,Prof-specialty,Own-child,White,34,0,0,30,United-States,<=50K
Female,Self-emp-not-inc,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,47,0,0,30,United-States,<=50K
Female,Private,Assoc-voc,11,Widowed,Exec-managerial,Unmarried,White,44,0,0,30,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,33,0,0,40,United-States,>50K
Male,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,55,15024,0,50,United-States,>50K
Male,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,19,2907,0,30,United-States,<=50K
Male,Private,Some-college,10,Never-married,Other-service,Not-in-family,Black,28,0,0,14,United-States,<=50K
Female,Private,11th,7,Married-civ-spouse,Other-service,Wife,Black,27,0,0,32,United-States,<=50K
Male,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,50,0,0,20,United-States,<=50K
Male,Private,11th,7,Never-married,Craft-repair,Unmarried,White,22,0,0,40,United-States,<=50K
Male,State-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,40,0,1887,45,United-States,>50K
Female,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,25,0,0,40,United-States,<=50K
Male,Local-gov,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,26,0,0,40,United-States,<=50K
Male,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,22,0,0,25,United-States,<=50K
Female,Private,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Black,42,0,625,40,United-States,<=50K
Male,Self-emp-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,38,0,0,40,United-States,<=50K
Male,Private,11th,7,Married-civ-spouse,Other-service,Husband,White,55,0,0,30,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,32,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,22,0,0,45,United-States,<=50K
Male,Private,Bachelors,13,Never-married,Sales,Own-child,White,29,0,0,40,United-States,<=50K
Male,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,46,0,0,45,United-States,>50K
Male,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,31,0,0,40,United-States,>50K
Male,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,58,0,0,16,United-States,>50K
Male,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,42,0,0,45,United-States,<=50K
Male,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,18,0,0,25,United-States,<=50K
Male,Local-gov,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,58,0,0,33,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,54,0,1887,40,United-States,>50K
Male,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,34,0,0,40,United-States,<=50K
Female,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,26,0,0,40,United-States,<=50K
Male,Private,12th,8,Married-civ-spouse,Exec-managerial,Husband,White,61,0,0,60,United-States,<=50K
Female,Local-gov,Masters,14,Separated,Adm-clerical,Unmarried,Black,48,0,0,40,United-States,<=50K
Male,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,36,0,0,45,United-States,>50K
Male,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,24,0,0,45,United-States,<=50K
Male,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,40,0,0,37,United-States,<=50K
Male,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,33,0,0,50,United-States,>50K
Male,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,37,0,1887,40,United-States,>50K
Male,Private,Masters,14,Never-married,Exec-managerial,Own-child,White,34,4650,0,40,United-States,<=50K
Male,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,56,15024,0,40,United-States,>50K
Female,?,HS-grad,9,Married-civ-spouse,?,Own-child,White,28,0,0,38,United-States,>50K
Female,Private,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,37,0,0,55,United-States,<=50K
Female,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,44,0,0,40,United-States,<=50K
Male,?,Some-college,10,Married-civ-spouse,?,Husband,White,64,0,0,8,United-States,<=50K
Male,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,54,0,0,45,United-States,<=50K
Male,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,23,0,0,50,United-States,<=50K
Male,State-gov,Bachelors,13,Married-spouse-absent,Farming-fishing,Not-in-family,Black,34,0,0,40,?,<=50K
Female,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,22,0,0,45,United-States,<=50K
Male,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,33,0,1977,40,United-States,>50K
Male,Private,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,39,0,0,50,United-States,>50K
Female,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,47,0,0,37,United-States,<=50K
Male,?,7th-8th,4,Widowed,?,Not-in-family,White,79,0,0,40,United-States,<=50K
Female,Private,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,26,0,0,55,United-States,<=50K
Female,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,31,0,0,40,United-States,<=50K
Male,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,44,0,0,45,United-States,<=50K
Female,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,42,0,0,50,United-States,>50K
Female,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,19,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,27,0,0,40,United-States,>50K
Male,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,51,0,0,40,United-States,>50K
Male,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,28,0,0,50,United-States,<=50K
Male,Private,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,57,0,0,45,United-States,<=50K
Female,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,45,0,0,40,United-States,<=50K
Male,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,50,0,0,40,United-States,>50K
Male,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,34,0,0,54,United-States,<=50K
Male,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Black,45,0,0,40,United-States,<=50K
Male,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,73,0,0,20,United-States,<=50K
Female,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,34,0,0,50,United-States,>50K
Male,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,31,0,0,55,United-States,>50K
Male,Private,11th,7,Never-married,Sales,Not-in-family,White,19,0,0,12,United-States,<=50K
Female,Private,Some-college,10,Never-married,Other-service,Own-child,White,25,0,0,50,United-States,<=50K
Female,Federal-gov,Assoc-voc,11,Divorced,Craft-repair,Unmarried,White,38,6497,0,40,United-States,<=50K
Male,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,39,0,0,40,United-States,<=50K
Female,Private,Bachelors,13,Never-married,Tech-support,Own-child,Black,23,0,0,32,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,49,0,0,40,United-States,<=50K
Male,Federal-gov,HS-grad,9,Never-married,Other-service,Not-in-family,White,33,0,0,32,United-States,<=50K
Male,Private,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,White,21,0,0,38,Mexico,<=50K
Male,Private,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,31,0,0,40,United-States,<=50K
Female,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,23,0,0,45,United-States,<=50K
Male,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,34,0,0,40,Philippines,<=50K
Female,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,25,0,0,40,Philippines,<=50K
Male,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,39,0,0,40,United-States,<=50K
Male,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,52,0,0,40,United-States,>50K
Male,Local-gov,9th,5,Married-civ-spouse,Transport-moving,Husband,White,63,7688,0,40,United-States,>50K
Male,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,41,0,0,40,United-States,<=50K
Male,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,46,15024,0,38,United-States,>50K
Male,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,53,0,0,40,United-States,<=50K
Female,?,9th,5,Separated,?,Not-in-family,White,25,1055,0,40,United-States,<=50K
Male,?,Some-college,10,Married-civ-spouse,?,Husband,White,77,0,0,35,United-States,<=50K
Male,Private,12th,8,Never-married,Priv-house-serv,Own-child,White,18,0,0,40,United-States,<=50K
Male,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,38,0,0,50,United-States,<=50K
